Category,Node Count,Edge Count,Time Ratio,Cost Ratio
30-1-100,25,51,1.0,1.0
30-1-100,25,62,1.54,0.67
30-1-100,25,50,1.0,1.0
30-1-100,25,55,1.0,1.0
30-1-100,25,61,1.0,1.0
30-1-100,25,73,1.19,0.25
30-1-100,25,56,1.0,1.0
30-1-100,25,56,1.0,1.0
30-1-100,25,71,1.36,1.11
30-1-100,25,70,1.0,1.0
30-1-100,25,58,1.0,1.0
30-1-100,25,71,1.0,1.0
30-1-100,25,58,1.0,1.0
30-1-100,26,77,1.0,1.0
30-1-100,26,71,1.0,1.0
30-1-100,26,73,1.07,0.8
30-1-100,26,72,1.0,1.0
30-1-100,26,55,1.07,0.75
30-1-100,26,66,1.0,1.0
30-1-100,26,55,1.0,1.0
30-1-100,26,53,1.0,1.0
30-1-100,26,61,1.0,1.0
30-1-100,26,66,1.0,1.0
30-1-100,26,53,1.42,0.75
30-1-100,26,67,1.0,1.0
30-1-100,26,69,1.0,1.0
30-1-100,27,62,1.0,1.0
30-1-100,27,57,1.0,1.0
30-1-100,27,69,1.0,1.0
30-1-100,27,77,1.0,1.0
30-1-100,27,81,1.13,2.0
30-1-100,27,74,1.56,1.0
30-1-100,27,73,1.0,1.0
30-1-100,27,73,1.0,1.0
30-1-100,27,66,1.0,1.0
30-1-100,27,62,2.26,1.0
30-1-100,27,66,1.0,1.0
30-1-100,27,57,1.0,1.0
30-1-100,27,71,1.0,1.0
30-1-100,28,57,1.2,1.6
30-1-100,28,84,1.0,1.0
30-1-100,28,75,1.0,1.0
30-1-100,28,64,1.0,1.0
30-1-100,28,59,1.0,1.0
30-1-100,28,80,1.0,1.0
30-1-100,28,64,1.0,1.0
30-1-100,28,71,1.0,1.12
30-1-100,28,60,1.0,1.0
30-1-100,28,73,1.29,1.25
30-1-100,28,71,1.0,1.0
30-1-100,28,74,1.59,1.11
30-1-100,28,78,1.0,1.0
30-1-100,28,66,1.0,1.0
30-1-100,29,59,1.0,1.0
30-1-100,29,76,1.0,1.0
30-1-100,29,60,1.0,1.0
30-1-100,29,59,1.0,1.0
30-1-100,29,85,1.0,1.0
30-1-100,29,71,1.0,1.0
30-1-100,29,83,1.0,1.0
30-1-100,29,81,1.03,0.6
30-1-100,29,60,1.0,1.0
30-1-100,29,69,1.0,1.0
30-1-100,29,59,1.0,1.0
30-1-100,29,78,1.0,1.2
30-1-100,30,66,1.0,1.0
30-1-100,30,68,1.0,1.0
30-1-100,30,76,1.0,1.0
30-1-100,30,81,1.0,1.0
30-1-100,30,88,1.0,1.0
30-1-100,30,69,1.0,1.0
30-1-100,30,72,1.06,0.7
30-1-100,30,61,1.0,1.0
30-1-100,30,81,1.0,1.0
30-1-100,30,88,1.0,1.0
30-1-100,30,80,1.27,0.78
30-1-100,30,63,1.0,1.0
30-1-100,30,72,2.46,1.67
30-1-100,30,79,1.05,1.6
30-1-100,30,71,1.0,1.0
30-1-100,30,75,1.0,1.0
30-1-100,30,70,1.0,1.0
30-1-100,30,64,1.0,1.0
30-1-100,30,62,1.0,1.0
