Category,Node Count,Edge Count,Time Ratio,Cost Ratio
10-1-100,8,19,1.0,9.0
10-2-100,8,24,1.0,2.0
10-2-100,8,22,1.0,3.25
10-1-100,8,21,1.0,3.5
10-1-100,8,19,1.0,15.0
10-1-100,8,22,1.0,2.6
10-1-100,8,22,1.0,1.0
10-2-100,8,21,1.4,1.0
10-2-100,8,23,1.0,1.0
10-2-100,8,27,1.0,1.0
10-2-100,8,18,1.0,16.0
10-2-100,8,18,1.86,2.0
10-1-100,8,17,1.0,1.33
10-1-100,8,23,3.95,3.0
10-1-100,8,22,1.0,6.0
10-2-100,8,21,2.21,2.0
10-2-100,8,27,1.83,0.67
10-2-100,8,19,1.0,3.75
10-1-100,8,18,3.62,2.5
10-2-100,8,20,1.2,1.67
10-2-100,8,21,1.0,1.67
10-2-100,8,20,3.17,0.67
10-2-100,8,19,1.0,1.0
10-1-100,8,16,1.54,0.67
10-1-100,8,19,1.0,3.0
10-1-100,8,23,2.54,2.0
10-1-100,8,17,2.79,0.67
10-2-100,8,23,1.0,5.0
10-2-100,8,21,1.0,1.0
10-1-100,8,16,1.0,8.0
10-1-100,8,21,1.87,1.0
10-1-100,8,21,1.39,2.0
10-1-100,8,21,1.0,6.5
10-1-100,8,21,3.82,2.0
10-1-100,8,23,1.0,3.25
10-1-100,8,21,1.0,2.4
10-1-100,8,19,1.02,2.0
10-1-100,8,19,2.47,2.0
10-2-100,8,27,3.15,1.5
10-2-100,8,27,1.21,1.2
10-2-100,8,23,1.83,2.0
10-2-100,8,21,13.2,2.0
10-1-100,8,17,1.0,1.33
10-2-100,8,27,2.79,3.0
10-2-100,8,23,2.61,2.67
10-1-100,8,18,3.42,4.0
10-1-100,8,18,1.0,1.0
10-2-100,8,25,1.0,3.25
10-1-100,8,20,1.0,1.0
10-2-100,8,28,1.88,1.5
10-2-100,8,28,1.0,9.5
10-2-100,8,21,1.3,4.0
10-2-100,8,23,1.0,3.75
10-1-100,8,22,9.7,2.5
10-2-100,8,27,1.0,3.0
10-2-100,9,26,1.04,2.5
10-2-100,9,35,4.96,2.5
10-1-100,9,23,1.0,1.0
10-1-100,9,22,1.0,1.67
10-1-100,9,27,1.0,2.5
10-1-100,9,20,1.0,1.71
10-2-100,9,34,1.0,4.75
10-1-100,9,18,7.73,5.0
10-1-100,9,18,1.0,16.0
10-1-100,9,23,1.0,1.0
10-2-100,9,27,1.43,4.25
10-1-100,9,20,1.36,1.0
10-1-100,9,27,1.0,20.0
10-1-100,9,23,1.0,1.0
10-1-100,9,20,1.24,1.75
10-2-100,9,25,1.0,1.0
10-1-100,9,21,1.36,8.0
10-1-100,9,25,1.0,4.67
10-1-100,9,19,1.8,1.0
10-1-100,9,24,1.19,1.5
10-1-100,9,20,1.0,3.0
