Category,Node Count,Edge Count,Time Ratio,Cost Ratio
30-3-100,28,361,2.45,0.5
30-3-100,28,340,1.0,1.0
30-3-100,28,28,1.0,9.33
30-3-100,28,294,1.44,0.33
30-3-100,28,44,1.0,13.0
30-3-100,28,169,1.0,1.0
30-3-100,28,316,1.36,0.5
30-3-100,28,74,1.0,4.56
30-3-100,28,148,1.27,0.25
30-3-100,28,120,3.97,3.0
30-3-100,29,35,1.0,1.0
30-3-100,29,70,2.42,2.5
30-3-100,29,70,1.0,1.0
30-3-100,29,342,2.05,0.33
30-3-100,29,365,1.0,1.0
30-3-100,29,92,1.0,1.0
30-3-100,29,36,1.0,1.4
30-3-100,29,247,2.04,0.25
30-3-100,29,270,2.72,0.33
30-3-100,29,398,4.09,0.33
30-3-100,29,337,1.0,1.0
30-3-100,29,287,1.52,0.5
30-3-100,30,78,1.0,1.0
30-3-100,30,86,1.04,0.5
30-3-100,30,388,1.0,1.0
30-3-100,30,254,1.0,1.0
30-3-100,30,32,1.0,1.0
30-3-100,30,310,1.0,1.0
30-3-100,30,369,2.0,0.5
30-3-100,30,137,1.22,0.5
30-3-100,30,119,1.0,1.0
30-3-100,30,384,2.28,0.5
