Category,Node Count,Edge Count,Time Ratio,Cost Ratio
10-1-100-r,10,29,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,23,1.0,1.0
10-1-100-r,10,29,1.0,1.0
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,25,1.0,1.0
10-1-100-r,10,27,1.0,1.0
10-1-100-r,10,30,4.0,4.0
10-1-100-r,10,29,1.0,1.0
10-1-100-r,10,24,1.0,1.0
10-1-100-r,10,27,1.0,1.0
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,20,1.0,1.0
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,23,4.0,4.0
10-1-100-r,10,24,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,25,4.0,4.0
10-1-100-r,10,24,1.0,1.0
10-1-100-r,10,25,4.0,4.0
10-1-100-r,10,26,1.05,0.8
10-1-100-r,10,27,1.0,1.0
10-1-100-r,10,20,1.0,1.0
10-1-100-r,10,26,1.0,1.2
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,23,4.0,4.0
10-1-100-r,10,25,1.1,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,26,1.0,1.0
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,25,4.0,4.0
10-1-100-r,10,26,1.0,1.0
10-1-100-r,10,23,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,30,1.0,1.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,13,1.0,1.0
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,13,1.0,2.0
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,13,1.0,1.0
10-1-100-t,10,13,1.0,1.0
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,13,1.0,1.0
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,13,1.0,1.0
10-1-100-t,10,12,1.16,0.67
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,11,1.92,0.25
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,13,1.0,1.0
10-1-100-t,10,14,1.0,1.0
