Category,Node Count,Edge Count,Time Ratio,Cost Ratio
10-1-100-r,10,29,2.05,1.5
10-1-100-r,10,28,1.0,3.25
10-1-100-r,10,23,1.0,2.2
10-1-100-r,10,29,1.0,2.8
10-1-100-r,10,30,1.41,2.0
10-1-100-r,10,25,1.14,1.2
10-1-100-r,10,27,4.0,4.0
10-1-100-r,10,30,1.0,1.86
10-1-100-r,10,29,1.0,1.43
10-1-100-r,10,24,1.0,2.75
10-1-100-r,10,27,4.0,4.0
10-1-100-r,10,30,1.0,3.25
10-1-100-r,10,20,4.0,4.0
10-1-100-r,10,30,1.0,2.33
10-1-100-r,10,23,1.0,1.67
10-1-100-r,10,24,1.0,5.0
10-1-100-r,10,28,4.0,4.0
10-1-100-r,10,25,4.0,4.0
10-1-100-r,10,24,4.0,4.0
10-1-100-r,10,25,1.0,3.0
10-1-100-r,10,26,1.0,2.4
10-1-100-r,10,27,1.0,2.75
10-1-100-r,10,20,4.0,4.0
10-1-100-r,10,26,4.0,4.0
10-1-100-r,10,28,1.0,4.0
10-1-100-r,10,23,1.0,1.0
10-1-100-r,10,25,1.0,1.29
10-1-100-r,10,28,1.0,2.6
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,26,1.0,2.4
10-1-100-r,10,30,1.0,3.0
10-1-100-r,10,25,1.0,1.12
10-1-100-r,10,26,1.0,1.0
10-1-100-r,10,23,4.0,4.0
10-1-100-r,10,28,1.0,2.8
10-1-100-r,10,30,1.0,3.0
10-1-100-t,10,11,2.14,2.0
10-1-100-t,10,11,1.0,5.0
10-1-100-t,10,10,1.0,3.0
10-1-100-t,10,12,1.04,1.0
10-1-100-t,10,14,2.12,1.75
10-1-100-t,10,14,1.0,2.25
10-1-100-t,10,10,1.0,3.5
10-1-100-t,10,15,1.0,1.6
10-1-100-t,10,10,1.0,4.5
10-1-100-t,10,10,4.0,4.0
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,15,1.0,5.5
10-1-100-t,10,13,5.9,0.75
10-1-100-t,10,14,4.0,4.0
10-1-100-t,10,14,2.56,0.5
10-1-100-t,10,13,4.0,4.0
10-1-100-t,10,12,1.0,5.0
10-1-100-t,10,12,1.0,1.67
10-1-100-t,10,11,1.27,1.67
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,11,145.0,5.0
10-1-100-t,10,10,1.0,2.67
10-1-100-t,10,13,1.0,2.25
10-1-100-t,10,13,4.0,4.0
10-1-100-t,10,12,1.0,3.0
10-1-100-t,10,15,1.0,2.6
10-1-100-t,10,11,4.0,4.0
10-1-100-t,10,15,1.0,3.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,14,1.0,12.0
10-1-100-t,10,10,1.25,2.33
10-1-100-t,10,13,1.0,2.0
10-1-100-t,10,12,3.17,5.0
10-1-100-t,10,10,1.0,1.33
10-1-100-t,10,12,1.0,2.0
10-1-100-t,10,15,1.0,4.0
10-1-100-t,10,13,1.0,3.33
10-1-100-t,10,12,1.0,2.67
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,15,1.0,2.75
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,11,4.0,4.0
10-1-100-t,10,14,2.0,1.25
10-1-100-t,10,10,1.0,4.0
10-1-100-t,10,14,1.0,3.67
10-1-100-t,10,15,1.0,10.0
10-1-100-t,10,10,1.0,2.67
10-1-100-t,10,13,1.0,2.0
10-1-100-t,10,14,4.0,4.0
10-1-100-t,10,10,1.0,5.0
10-1-100-t,10,13,1.0,5.5
10-1-100-t,10,12,2.02,1.0
10-1-100-t,10,11,1.0,9.0
