Category,Node Count,Edge Count,Time Ratio,Cost Ratio
10-1-100-r,10,29,4.0,4.0
10-1-100-r,10,28,4.0,4.0
10-1-100-r,10,23,4.0,4.0
10-1-100-r,10,29,4.0,4.0
10-1-100-r,10,30,1.0,2.83
10-1-100-r,10,25,4.0,4.0
10-1-100-r,10,27,4.0,4.0
10-1-100-r,10,30,4.0,4.0
10-1-100-r,10,29,4.0,4.0
10-1-100-r,10,24,1.0,5.75
10-1-100-r,10,27,4.0,4.0
10-1-100-r,10,30,4.0,4.0
10-1-100-r,10,20,4.0,4.0
10-1-100-r,10,30,4.0,4.0
10-1-100-r,10,23,4.0,4.0
10-1-100-r,10,24,1.0,3.0
10-1-100-r,10,28,4.0,4.0
10-1-100-r,10,25,4.0,4.0
10-1-100-r,10,24,4.0,4.0
10-1-100-r,10,25,4.0,4.0
10-1-100-r,10,26,4.0,4.0
10-1-100-r,10,27,4.0,4.0
10-1-100-r,10,20,1.0,3.0
10-1-100-r,10,26,1.0,3.0
10-1-100-r,10,28,4.0,4.0
10-1-100-r,10,23,4.0,4.0
10-1-100-r,10,25,4.0,4.0
10-1-100-r,10,28,4.0,4.0
10-1-100-r,10,28,4.0,4.0
10-1-100-r,10,26,4.0,4.0
10-1-100-r,10,30,4.0,4.0
10-1-100-r,10,25,4.0,4.0
10-1-100-r,10,26,4.0,4.0
10-1-100-r,10,23,4.0,4.0
10-1-100-r,10,28,4.0,4.0
10-1-100-r,10,30,1.08,3.8
10-1-100-t,10,11,4.0,4.0
10-1-100-t,10,11,1.39,3.5
10-1-100-t,10,10,4.0,4.0
10-1-100-t,10,12,4.0,4.0
10-1-100-t,10,14,1.0,1.75
10-1-100-t,10,14,4.0,4.0
10-1-100-t,10,10,4.0,4.0
10-1-100-t,10,15,1.0,1.6
10-1-100-t,10,10,4.0,4.0
10-1-100-t,10,10,1.0,2.0
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,13,4.0,4.0
10-1-100-t,10,14,4.0,4.0
10-1-100-t,10,14,1.0,1.5
10-1-100-t,10,13,4.0,4.0
10-1-100-t,10,12,1.0,4.5
10-1-100-t,10,12,1.0,3.0
10-1-100-t,10,11,4.0,4.0
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,10,4.0,4.0
10-1-100-t,10,13,1.0,1.0
10-1-100-t,10,13,4.0,4.0
10-1-100-t,10,12,4.0,4.0
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,11,4.0,4.0
10-1-100-t,10,15,1.0,3.0
10-1-100-t,10,11,1.0,3.5
10-1-100-t,10,14,4.0,4.0
10-1-100-t,10,10,1.0,2.33
10-1-100-t,10,13,4.0,4.0
10-1-100-t,10,12,1.0,5.0
10-1-100-t,10,10,4.0,4.0
10-1-100-t,10,12,4.0,4.0
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,13,4.0,4.0
10-1-100-t,10,12,4.0,4.0
10-1-100-t,10,15,1.0,3.33
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,12,1.0,7.0
10-1-100-t,10,11,4.0,4.0
10-1-100-t,10,14,1.0,2.25
10-1-100-t,10,10,1.0,4.0
10-1-100-t,10,14,4.0,4.0
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,10,4.0,4.0
10-1-100-t,10,13,1.0,4.0
10-1-100-t,10,14,4.0,4.0
10-1-100-t,10,10,4.0,4.0
10-1-100-t,10,13,4.0,4.0
10-1-100-t,10,12,1.0,1.67
10-1-100-t,10,11,4.0,4.0
10-1-100-t,10,13,1.0,2.67
10-1-100-t,10,15,2.13,3.5
10-1-100-t,10,13,4.0,4.0
10-1-100-t,10,14,4.0,4.0
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,10,1.46,4.0
10-1-100-t,10,12,4.0,4.0
10-1-100-t,10,11,4.0,4.0
10-1-100-t,10,11,4.0,4.0
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,13,1.0,1.0
10-1-100-t,10,11,1.0,5.5
10-1-100-t,10,10,4.0,4.0
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,11,1.0,4.0
