Category,Node Count,Edge Count,Time Ratio,Cost Ratio
10-1-100-r,10,29,1.12,0.83
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,23,1.02,1.6
10-1-100-r,10,29,1.0,1.0
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,25,1.0,1.0
10-1-100-r,10,27,1.0,1.0
10-1-100-r,10,30,1.0,1.14
10-1-100-r,10,29,1.0,1.0
10-1-100-r,10,24,1.0,1.0
10-1-100-r,10,27,1.0,1.0
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,20,1.0,1.0
10-1-100-r,10,30,1.16,1.33
10-1-100-r,10,23,1.0,1.0
10-1-100-r,10,24,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,25,1.0,1.0
10-1-100-r,10,24,1.0,1.0
10-1-100-r,10,25,2.07,1.5
10-1-100-r,10,26,1.0,1.0
10-1-100-r,10,27,1.0,1.0
10-1-100-r,10,20,1.0,1.0
10-1-100-r,10,26,1.08,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,23,1.0,1.0
10-1-100-r,10,25,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,26,1.0,1.0
10-1-100-r,10,30,1.0,1.33
10-1-100-r,10,25,1.04,0.75
10-1-100-r,10,26,1.0,1.0
10-1-100-r,10,23,1.0,1.0
10-1-100-r,10,28,1.21,0.8
10-1-100-r,10,30,1.36,1.2
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,10,1.13,1.5
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,13,2.3,0.75
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,13,1.0,2.5
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,15,1.4,0.75
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,13,1.0,1.0
10-1-100-t,10,13,1.42,1.0
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,15,1.03,1.0
10-1-100-t,10,11,1.57,1.33
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,10,1.25,1.0
10-1-100-t,10,13,1.0,1.0
10-1-100-t,10,12,1.93,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,15,1.17,2.0
10-1-100-t,10,13,1.0,1.67
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,15,1.0,1.25
10-1-100-t,10,12,1.0,1.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,14,1.18,0.75
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,14,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,10,1.14,0.67
10-1-100-t,10,13,1.0,1.0
10-1-100-t,10,14,2.75,1.25
