Category,Node Count,Edge Count,Time Ratio,Cost Ratio
10-1-100,8,22,1.0,4.0
10-1-100,8,20,2.07,2.33
10-1-100,8,17,1.0,1.33
10-1-100,8,22,1.5,1.4
10-1-100,8,18,1.0,2.67
10-1-100,8,19,2.16,6.0
10-1-100,8,22,10.5,2.0
10-1-100,8,18,3.42,8.0
10-1-100,8,22,1.0,2.5
10-1-100,8,23,4.77,4.0
10-1-100,8,22,1.0,6.0
10-1-100,9,18,1.0,1.33
10-1-100,9,25,1.0,2.33
10-1-100,9,18,1.0,1.5
10-1-100,9,24,1.07,1.25
10-1-100,9,19,1.0,2.67
10-1-100,10,22,1.0,1.67
10-1-100,10,23,1.0,3.5
10-1-100,10,26,1.1,3.5
10-1-100,10,25,1.0,1.0
10-1-100,10,24,1.0,1.0
10-1-100,10,22,1.84,3.33
10-1-100,10,22,2.79,5.0
10-1-100,10,29,2.58,4.0
10-1-100,10,23,1.0,7.0
10-1-100,10,23,1.45,1.5
10-1-100,10,26,2.44,3.0
10-1-100,10,28,3.26,5.0
