Category,Node Count,Edge Count,Time Ratio,Cost Ratio
10-1-100-r,10,29,4.0,4.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,23,1.0,1.6
10-1-100-r,10,29,1.0,1.0
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,25,1.14,0.8
10-1-100-r,10,27,1.0,1.0
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,29,1.0,1.0
10-1-100-r,10,24,1.41,1.75
10-1-100-r,10,27,1.0,1.0
10-1-100-r,10,30,1.0,1.25
10-1-100-r,10,20,1.0,1.0
10-1-100-r,10,30,1.16,1.33
10-1-100-r,10,23,1.0,1.0
10-1-100-r,10,24,1.0,1.0
10-1-100-r,10,28,4.0,4.0
10-1-100-r,10,25,4.0,4.0
10-1-100-r,10,24,4.0,4.0
10-1-100-r,10,25,1.0,1.0
10-1-100-r,10,26,1.0,1.0
10-1-100-r,10,27,4.0,4.0
10-1-100-r,10,20,1.0,1.33
10-1-100-r,10,26,1.08,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,23,1.0,1.0
10-1-100-r,10,25,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,26,1.0,1.0
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,25,4.0,4.0
10-1-100-r,10,26,1.0,1.0
10-1-100-r,10,23,1.0,1.0
10-1-100-r,10,28,1.21,0.8
10-1-100-r,10,30,4.0,4.0
10-1-100-t,10,11,1.92,1.5
10-1-100-t,10,11,1.67,4.0
10-1-100-t,10,10,2.76,2.5
10-1-100-t,10,12,4.0,4.0
10-1-100-t,10,14,2.15,1.0
10-1-100-t,10,14,4.0,4.0
10-1-100-t,10,10,4.0,4.0
10-1-100-t,10,15,1.07,1.0
10-1-100-t,10,10,1.06,3.5
10-1-100-t,10,10,1.0,1.75
10-1-100-t,10,15,1.0,2.0
10-1-100-t,10,15,4.0,4.0
10-1-100-t,10,13,1.0,1.25
10-1-100-t,10,14,4.0,4.0
10-1-100-t,10,14,2.56,2.5
