Category,Node Count,Edge Count,Time Ratio,Cost Ratio
10-2-100,8,20,1.67,1.2
10-2-100,8,18,1.68,2.0
10-2-100,8,23,1.0,1.6
10-2-100,8,20,1.0,1.0
10-2-100,8,25,1.49,1.0
10-2-100,8,24,1.0,2.0
10-2-100,8,22,1.0,1.0
10-2-100,8,21,1.62,2.33
10-2-100,8,21,1.0,1.0
10-2-100,8,19,1.0,1.5
10-2-100,8,28,1.0,2.0
10-2-100,8,27,1.92,2.0
10-2-100,8,19,1.0,3.0
10-2-100,8,23,1.16,3.67
10-2-100,8,21,1.0,1.33
10-2-100,8,22,1.0,0.8
10-2-100,8,23,1.0,1.0
10-2-100,8,24,1.09,0.5
10-2-100,8,27,4.08,0.67
10-2-100,8,27,1.0,1.0
10-2-100,8,21,1.0,0.38
10-2-100,8,23,1.0,1.5
10-2-100,8,28,1.0,2.0
10-2-100,8,21,1.3,2.0
10-2-100,8,18,1.86,2.0
10-2-100,8,27,1.0,1.0
10-2-100,8,27,1.21,0.71
10-2-100,8,21,1.0,2.0
10-2-100,8,21,8.4,3.0
10-2-100,8,23,1.48,3.0
10-2-100,8,27,3.15,2.0
10-2-100,9,34,1.0,1.0
10-2-100,9,27,1.0,0.8
10-2-100,9,28,1.55,2.0
10-2-100,9,31,1.0,1.0
10-2-100,9,28,1.0,0.67
10-2-100,9,29,1.0,0.75
10-2-100,9,25,3.24,2.0
10-2-100,9,24,1.0,1.0
10-2-100,9,26,1.0,0.56
10-2-100,9,36,1.12,4.0
10-2-100,9,32,1.0,1.2
10-2-100,9,36,3.07,2.0
10-2-100,9,32,1.0,1.0
10-2-100,9,29,1.09,2.0
10-2-100,9,26,1.3,1.5
10-2-100,9,31,1.0,1.0
10-2-100,9,34,1.0,1.0
10-2-100,9,35,1.0,1.0
10-2-100,9,24,1.25,1.0
10-2-100,9,33,1.0,2.0
10-2-100,10,36,1.0,2.25
10-2-100,10,41,1.26,3.0
10-2-100,10,33,1.0,0.75
10-2-100,10,35,1.0,1.0
10-2-100,10,30,1.0,0.86
10-2-100,10,41,1.93,1.0
10-2-100,10,30,1.0,0.71
10-2-100,10,43,1.0,1.0
10-2-100,10,39,1.33,1.5
10-2-100,10,33,1.0,1.5
10-2-100,10,40,1.0,1.0
10-2-100,10,34,1.0,1.33
10-2-100,10,44,1.0,2.0
10-2-100,10,44,1.0,1.0
10-2-100,10,34,1.0,1.0
10-2-100,10,41,1.71,2.5
10-2-100,10,44,2.1,1.4
10-2-100,10,32,1.14,2.0
10-2-100,10,44,1.0,2.0
10-2-100,10,44,1.0,2.5
