Category,Node Count,Edge Count,Time Ratio,Cost Ratio
10-1-100,8,20,1.0,1.0
10-1-100,8,17,1.0,1.33
10-1-100,8,22,1.0,1.0
10-1-100,8,18,3.6,0.67
10-1-100,8,19,1.97,4.0
10-1-100,8,22,1.24,2.4
10-1-100,8,22,1.05,1.0
10-2-100,8,24,0.93,1.83
10-2-100,8,28,0.73,10.0
10-2-100,8,21,2.39,2.0
10-2-100,8,21,1.0,2.75
10-2-100,8,20,1.55,1.33
10-2-100,8,27,1.25,0.67
10-1-100,8,23,2.36,2.0
10-1-100,8,22,1.0,1.5
10-2-100,8,27,5.4,1.5
10-2-100,8,23,2.09,2.0
10-2-100,8,21,13.0,2.0
10-1-100,8,23,1.25,2.0
10-1-100,8,16,1.0,2.0
10-1-100,8,21,1.0,1.0
10-2-100,8,19,1.06,3.75
10-2-100,8,27,0.92,22.0
10-2-100,8,28,2.07,17.0
10-2-100,8,22,1.03,0.5
10-2-100,8,23,1.07,4.33
10-1-100,8,21,0.75,1.0
10-1-100,8,21,1.0,1.5
10-1-100,8,23,1.11,2.0
10-1-100,8,21,1.28,1.0
10-2-100,8,21,0.48,1.33
10-2-100,8,23,1.85,3.5
10-2-100,8,20,3.17,0.67
10-2-100,8,24,1.61,7.0
10-1-100,8,19,1.65,2.0
10-1-100,8,19,1.0,3.0
10-2-100,8,18,2.55,2.0
10-2-100,8,20,1.0,3.5
10-2-100,8,18,1.97,2.0
10-2-100,8,27,1.0,16.0
10-1-100,8,17,0.3,1.0
10-1-100,8,18,1.0,2.5
10-1-100,8,23,1.0,1.0
10-1-100,8,17,1.21,1.67
10-1-100,8,16,1.16,0.67
10-1-100,8,19,1.25,2.5
10-1-100,8,21,6.85,3.0
10-1-100,8,23,1.0,2.5
10-1-100,8,20,1.0,1.0
10-1-100,8,18,2.12,3.0
10-2-100,8,25,1.08,2.0
10-1-100,8,22,8.4,1.5
10-1-100,8,19,1.0,2.0
10-1-100,9,23,1.0,1.0
10-1-100,9,22,1.0,0.5
10-1-100,9,23,6.56,4.0
10-1-100,9,20,1.37,1.25
10-2-100,9,33,2.14,16.0
10-2-100,9,28,2.31,8.0
10-2-100,9,31,2.44,3.0
10-2-100,9,36,2.13,1.2
10-2-100,9,24,0.87,3.5
