Category,Node Count,Edge Count,Time Ratio,Cost Ratio
30-3-1000,28,106,1.0,1.0
30-3-1000,28,296,1.0,1.0
30-3-1000,28,148,1.0,1.0
30-3-1000,28,121,2.17,2.5
30-3-1000,28,51,1.0,1.0
30-3-1000,28,346,3.62,0.5
30-3-1000,28,378,1.0,1.0
30-3-1000,28,77,1.0,1.0
30-3-1000,28,184,1.0,1.0
30-3-1000,28,300,1.0,1.0
30-3-1000,28,195,1.5,4.0
30-3-1000,28,213,2.63,1.67
30-3-1000,28,364,1.56,0.5
30-3-1000,28,42,1.0,7.8
30-3-1000,28,38,1.0,1.5
30-3-1000,28,311,1.0,1.0
30-3-1000,28,357,1.44,0.5
30-3-1000,29,396,1.0,1.0
30-3-1000,29,30,1.0,1.0
30-3-1000,29,364,1.18,0.5
30-3-1000,29,87,1.0,1.0
30-3-1000,29,351,1.0,1.0
30-3-1000,29,154,1.0,1.0
30-3-1000,29,225,1.0,1.0
30-3-1000,29,88,1.0,1.0
30-3-1000,29,404,3.22,0.5
30-3-1000,29,318,2.75,0.5
30-3-1000,29,185,5.11,2.0
30-3-1000,29,68,1.0,1.0
30-3-1000,29,203,1.0,1.0
30-3-1000,29,224,1.0,1.0
30-3-1000,30,60,1.0,19.0
30-3-1000,30,318,2.59,0.5
30-3-1000,30,129,1.0,1.0
30-3-1000,30,348,8.23,4.0
30-3-1000,30,389,1.48,0.5
30-3-1000,30,40,1.0,4.38
30-3-1000,30,99,1.43,0.75
30-3-1000,30,359,1.0,1.0
30-3-1000,30,182,1.0,1.0
30-3-1000,30,249,1.0,1.0
30-3-1000,30,248,5.12,0.5
30-3-1000,30,306,3.85,0.5
30-3-1000,30,283,1.0,1.0
30-3-1000,30,186,1.0,1.0
30-3-1000,30,232,6.86,0.5
30-3-1000,30,397,1.0,1.0
30-3-1000,30,361,1.61,0.5
